AdjustedQueryTerm,PreferredTerm,SemanticType,ui,,,
angle of louis,Structure of sternal angle,"Body Part, Organ, or Organ Component",C0222772,,,
stylohyoid,Structure of stylohyoid muscle,"Body Part, Organ, or Organ Component",C0224158,,,
abdominal regions,Structure of subregion of abdomen,Body Location or Region,C1720043,,,
arcuate fasciculus,Structure of superior longitudinal fasciculus,"Body Part, Organ, or Organ Component",C0228270,,,
supinator muscle,Structure of supinator muscle,"Body Part, Organ, or Organ Component",C0224275,,,
suprachiasmatic nucleus,Structure of suprachiasmatic nucleus,"Body Part, Organ, or Organ Component",C0038866,,,
supraclavicular lymph node,Structure of supraclavicular lymph node,"Body Part, Organ, or Organ Component",C0229730,,,
tarsal tunnel,Structure of tarsal canal,Body Space or Junction,C0225150,,,
thoracic nerve,Structure of thoracic nerve,"Body Part, Organ, or Organ Component",C0039983,,,
thyroid ima artery,Structure of thyroidea ima artery,"Body Part, Organ, or Organ Component",C0226260,,,
tibial tuberosity,Structure of tibial tuberosity,"Body Part, Organ, or Organ Component",C0223896,,,
trapezius,Structure of trapezius muscle,"Body Part, Organ, or Organ Component",C0224361,,,
triangular fibrocartilage,Structure of triangular fibrocartilage of wrist,"Body Part, Organ, or Organ Component",C0447834,,,
ulnar nerve,Structure of ulnar nerve,"Body Part, Organ, or Organ Component",C0041602,,,
vein valves,Structure of valve of vein,"Body Part, Organ, or Organ Component",C0226515,,,
upper extremity veins,Structure of vein of upper extremity,"Body Part, Organ, or Organ Component",C0226792,,,
vpm,Structure of ventral posteromedial nucleus of thalamus,"Body Part, Organ, or Organ Component",C0752056,,,
vertebral artery,Structure of vertebral artery,"Body Part, Organ, or Organ Component",C0042559,,,
waist,Structure of waist (surface region),Body Location or Region,C0230097,,,
whartons jelly,Structure of Wharton's jelly,Embryonic Structure,C0230987,,,
molar third,Structure of wisdom tooth,"Body Part, Organ, or Organ Component",C0026369,,,
third molar,Structure of wisdom tooth,"Body Part, Organ, or Organ Component",C0026369,,,
wisdom teeth,Structure of wisdom tooth,"Body Part, Organ, or Organ Component",C0026369,,,
wisdom tooth,Structure of wisdom tooth,"Body Part, Organ, or Organ Component",C0026369,,,
structured data,Structured Data,Intellectual Product,C4688488,,,
sql,Structured Query Language,Intellectual Product,C1710218,,,
strumectomy,Strumectomy,Therapeutic or Preventive Procedure,C0919983,,,
ostriches,Struthio camelus,Bird,C0325336,,,
strychnine,Strychnine Assay,Laboratory Procedure,C0038479,,,
tmc,STT3A gene,Gene or Genome,C1823138,,,
stub1,STUB1 gene,Gene or Genome,C1420492,,,
student,student,Population Group,C0038492,,,
students,student,Population Group,C0038492,,,
student characteristics,Student Characteristics,Group Attribute,C0871449,,,
teachers and students,student teachers,Professional or Occupational Group,C0871451,,,
dental students,"Students, Dental",Professional or Occupational Group,C0038493,,,
medical student,"Students, Medical",Professional or Occupational Group,C0038495,,,
medical students,"Students, Medical",Professional or Occupational Group,C0038495,,,
nursing student,"Students, Nursing",Professional or Occupational Group,C0038496,,,
nursing students,"Students, Nursing",Professional or Occupational Group,C0038496,,,
student nurse,"Students, Nursing",Professional or Occupational Group,C0038496,,,
model,Study models,Research Device,C0026336,,,
models,Study models,Research Device,C0026336,,,
epidemiology studies,Study of epidemiology,Health Care Activity,C0699910,,,
epigenetic,study of epigenetics,Biomedical Occupation or Discipline,C1655731,,,
magnetic,Study of magnetics,Occupation or Discipline,C0024488,,,
nutrition fat,"Study of Nutrition, Fats",Research Activity,C1527016,,,
registry study,Study Registry,Organization,C2985664,,,
study section,Study Section,Professional or Occupational Group,C1515004,,,
study sections,Study Section,Professional or Occupational Group,C1515004,,,
subject,Study Subject,Group,C0681850,,,
neurocutaneous syndrome,Sturge-Weber Syndrome,Congenital Abnormality,C0038505,,,
sturge weber syndrome,Sturge-Weber Syndrome,Disease or Syndrome,C0038505,,,
stuttering,Stuttering,Mental or Behavioral Dysfunction,C0038506,,,
stutter,Stuttering,Mental or Behavioral Dysfunction,C0038506,,,
stxbp1,STXBP1 gene,Gene or Genome,C1420506,,,
style,style,Qualitative Concept,C0489654,,,
styphnolobium japonicum,Styphnolobium japonicum,Plant,C0996856,,,
styrene,Styrenes,Organic Chemical,C0038513,,,
sbe,Subacute Bacterial Endocarditis,Disease or Syndrome,C0014122,,,
post-acute and care,Subacute Care,Biomedical Occupation or Discipline,C0376635,,,
sub acute care,Subacute Care,Biomedical Occupation or Discipline,C0376635,,,
subacute cutaneous lupus,Subacute cutaneous lupus,Disease or Syndrome,C2362320,,,
sspe,Subacute Sclerosing Panencephalitis,Disease or Syndrome,C0038522,,,
sacs,subapical complex location,Cell Component,C1325744,,,
subarachnoid haemorrhage,Subarachnoid Hemorrhage,Disease or Syndrome,C0038525,,,
subarachnoid hemorrhage,Subarachnoid Hemorrhage,Disease or Syndrome,C0038525,,,
subarachnoid,Subarachnoid Route of Drug Administration,Functional Concept,C1515008,,,
subareolar breast abscess,Subareolar breast abscess,Disease or Syndrome,C0405461,,,
subclavian steal,Subclavian Steal,Disease or Syndrome,C0751531,,,
subclinical,Subclinical,Qualitative Concept,C0205211,,,
subclinical hypothyroid,Subclinical hypothyroidism,Disease or Syndrome,C0271790,,,
subclinical hypothyroidism,Subclinical hypothyroidism,Disease or Syndrome,C0271790,,,
subconjunctival hemorrhage,Subconjunctival hemorrhage,Pathologic Function,C0038534,,,
subconscious,Subconscious,Mental Process,C0038535,,,
motor system,subcortical motor system,Body System,C3499133,,,
subcutaneous,subcutaneous,Spatial Concept,C0443315,,,
crepitus,Subcutaneous crepitus,Pathologic Function,C0277964,,,
subcutaneous edema,Subcutaneous edema,Finding,C3670763,,,
subcutaneous emphysema,Subcutaneous Emphysema,Pathologic Function,C0038536,,,
subcutis,Subcutaneous Fat,Tissue,C0222331,,,
subcutaneous hemorrhage,Subcutaneous hemorrhage,Disease or Syndrome,C0854107,,,
subcutaneous immunotherapy,Subcutaneous immunotherapy,Therapeutic or Preventive Procedure,C0413381,,,
subcutaneous infusion,Subcutaneous Infusions,Therapeutic or Preventive Procedure,C0576773,,,
injection subcutaneous,Subcutaneous Injections,Functional Concept,C0021499,,,
injections subcutaneous,Subcutaneous Injections,Functional Concept,C0021499,,,
subcutaneous injection,Subcutaneous Injections,Functional Concept,C0021499,,,
subcutaneous fat necrosis,subcutaneous; fatty necrosis,Disease or Syndrome,C1410405,,,
subdural,Subdural space,Body Space or Junction,C0038541,,,
sega,Subependymal Giant Cell Astrocytoma,Neoplastic Process,C0205768,,,
suberosis,Suberosis,Disease or Syndrome,C0152108,,,
s/p,Subglottic pressure,Organ or Tissue Function,C0234833,,,
subglottic suction,Subglottic space suctioning,Therapeutic or Preventive Procedure,C1827555,,,
subset,Subgroup,Classification,C1515021,,,
patient diary,Subject Diary,Intellectual Product,C3890583,,,
subject heading,Subject Headings,Intellectual Product,C0038545,,,
subject headings,Subject Headings,Intellectual Product,C0038545,,,
subjective,Subjective observation (qualifier value),Qualitative Concept,C0439655,,,
subliminal advertising,subliminal advertising,Occupational Activity,C0680922,,,
sublingual immunotherapy,Sublingual Immunotherapy,Therapeutic or Preventive Procedure,C3658366,,,
sublingual lymph nodes,Sublingual Lymph Node,Anatomical Structure,C2985100,,,
sublingual,Sublingual Route of Drug Administration,Functional Concept,C0001565,,,
sublocade,Sublocade,Organic Chemical|Pharmacologic Substance,C4542123,,,
subluxation of shoulder,Subluxation of shoulder joint,Injury or Poisoning,C0434744,,,
shoulder subluxation,Subluxation of shoulder joint,Injury or Poisoning,C0434744,,,
submission,Submission,Functional Concept,C1515022,,,
submissions,Submission,Functional Concept,C1515022,,,
submit,Submitted,Functional Concept,C1515023,,,
submucous cleft palate,Submucous cleft of hard palate,Congenital Abnormality,C0432103,,,
suboccipital,Suboccipital approach,Spatial Concept,C0442187,,,
suboxone,Suboxone,Organic Chemical|Pharmacologic Substance,C1170625,,,
substance,Substance,Substance,C0439861,,,
substances,Substance,Substance,C0439861,,,
pregnancy and substance abuse,substance abuse pregnancy,Finding,C0749115,,,
substance abuse in pregnancy,substance abuse pregnancy,Finding,C0749115,,,
substance abuse pregnancy,substance abuse pregnancy,Finding,C0749115,,,
substance abuse prevention,Substance abuse prevention,Health Care Activity,C1171221,,,
chemical dependence,Substance Dependence,Mental or Behavioral Dysfunction,C0038580,,,
substance dependence,Substance Dependence,Mental or Behavioral Dysfunction,C0038580,,,
substance misuse,Substance misuse,Finding,C4540992,,,
substance abuse,Substance of abuse,Hazardous or Poisonous Substance,C0687130,,,
substance use disorder,Substance Use Disorders,Mental or Behavioral Dysfunction,C0038586,,,
substance use disorders,Substance Use Disorders,Mental or Behavioral Dysfunction,C0038586,,,
substance use treatment,Substance use therapy,Health Care Activity,C0150359,,,
substance related disorders,Substance-Related Disorders,Mental or Behavioral Dysfunction,C0236969,,,
substance-related disorders,Substance-Related Disorders,Mental or Behavioral Dysfunction,C0236969,,,
substantia nigra,Substantia nigra structure,"Body Part, Organ, or Organ Component",C0038590,,,
substrate,Substrate Device Component,Manufactured Object,C1710236,,,
ssr,subsynaptic reticulum,Cell Component,C2754414,,,
subutex,Subutex,Organic Chemical|Pharmacologic Substance,C0006404,,,
subway,Subways,Manufactured Object,C0524709,,,
dmsa,Succimer,Organic Chemical|Pharmacologic Substance,C0012384,,,
scot deficiency,Succinyl-CoA:3-oxoacid CoA transferase deficiency,Disease or Syndrome,C0342792,,,
succinylcholine,Succinylcholine,Organic Chemical|Pharmacologic Substance,C0038627,,,
sucos,SUCO gene,Gene or Genome,C1412930,,,
sucralfate,Sucralfate,Organic Chemical|Pharmacologic Substance,C0038633,,,
sucralose,sucralose,Organic Chemical,C0077046,,,
sucrose,Sucrose,Organic Chemical|Biologically Active Substance|Pharmacologic Substance,C0038636,,,
sucrose stearate,sucrose monostearate,Organic Chemical|Pharmacologic Substance,C0075477,,,
suction canister,SUCTION CANISTER,Medical Device,C1875787,,,
suction catheter,Suction catheter,Medical Device,C0179788,,,
suction,Suction drainage,Therapeutic or Preventive Procedure,C0038638,,,
suction procedure,Suction drainage,Therapeutic or Preventive Procedure,C0038638,,,
suctioning,Suction drainage,Therapeutic or Preventive Procedure,C0038638,,,
liposuction,Suction Lipectomy,Therapeutic or Preventive Procedure,C0038640,,,
liposuctions,Suction Lipectomy,Therapeutic or Preventive Procedure,C0038640,,,
sudafed,Sudafed,Organic Chemical|Pharmacologic Substance,C0700727,,,
sudafed for allergies,SUDAFED ALLERGY,Disease or Syndrome,C0749131,,,
su,Sudan,Geographic Area,C0038642,,,
sudan,Sudan,Geographic Area,C0038642,,,
sudden cardiac arrest,Sudden Cardiac Arrest,Pathologic Function,C1720824,,,
death sudden cardiac,Sudden Cardiac Death,Pathologic Function,C0085298,,,
sudden cardiac death,Sudden Cardiac Death,Pathologic Function,C0085298,,,
sudden death,Sudden death,Pathologic Function,C0011071,,,
sudden death in children,Sudden death in children,Pathologic Function,C3825008,,,
sids,Sudden infant death syndrome,Disease or Syndrome,C0038644,,,
sudden infant death,Sudden infant death syndrome,Disease or Syndrome,C0038644,,,
sudden infant death syndrome,Sudden infant death syndrome,Disease or Syndrome,C0038644,,,
sudep,Sudden unexplained death in epilepsy,Disease or Syndrome,C1536075,,,
sufentanil,Sufentanil,Organic Chemical|Pharmacologic Substance,C0143993,,,
mechanical asphyxia,Suffocation by mechanical cause,Injury or Poisoning,C0344194,,,
sugammadex,Sugammadex,Organic Chemical|Pharmacologic Substance,C1700695,,,
sugar alcohol,Sugar Alcohols,Organic Chemical,C0038654,,,
sugar and diabetes,Sugar Diabetes,Disease or Syndrome,C2362516,,,
sugar diabetes,Sugar Diabetes,Disease or Syndrome,C2362516,,,
sugar intake,Sugar intake,Finding,C0556234,,,
sugar substitutes,Sugar Substitutes,Chemical Viewed Functionally,C0282360,,,
sugar substitute,Sugar Substitutes,Chemical Viewed Functionally,C0282360,,,
diet coke,Sugar-free cola,Food,C0452445,,,
sugarcane extract,sugarcane extract,Organic Chemical|Pharmacologic Substance,C3503436,,,
sgt1,SUGT1 gene,Gene or Genome,C1424675,,,
suicide,Suicide,Finding,C0038661,,,
suicides,Suicide,Finding,C0038661,,,
suicide attempt,Suicide attempt,Injury or Poisoning,C0038663,,,
suicide ideation,Suicide ideation,Finding,C1821181,,,
suicide and attempted suicide,Suicide or suicide attempt,Finding,C0851163,,,
suicide prevention,Suicide prevention,Therapeutic or Preventive Procedure,C0204732,,,
suicide rates,Suicide rate,Finding,C1822575,,,
assisted death,"Suicide, Assisted",Social Behavior,C0162665,,,
assisted suicide,"Suicide, Assisted",Social Behavior,C0162665,,,
sulbutiamine,sulbutiamine,Organic Chemical|Vitamin|Pharmacologic Substance,C0075501,,,
sulcatone,sulcatone,Organic Chemical,C3886547,,,
sulphacetamide,Sulfacetamide,Organic Chemical|Pharmacologic Substance,C0038670,,,
sulfacetamide sodium,Sulfacetamide Sodium,Organic Chemical|Pharmacologic Substance,C0282356,,,
sulfachloropyridazine,Sulfachlorpyridazine,Organic Chemical|Antibiotic,C0038672,,,
sulfachlorpyridazine,Sulfachlorpyridazine,Organic Chemical|Antibiotic,C0038672,,,
sulfadiazine,Sulfadiazine,Organic Chemical|Antibiotic,C0038675,,,
sulfadoxine,Sulfadoxine,Organic Chemical|Pharmacologic Substance,C0038679,,,
sulfamethoxazole,Sulfamethoxazole,Organic Chemical|Antibiotic,C0038689,,,
sulphamethoxazole,Sulfamethoxazole,Organic Chemical|Antibiotic,C0038689,,,
sulfanilamide,Sulfanilamide,Organic Chemical|Antibiotic,C0038702,,,
sulfasalazine,Sulfasalazine,Organic Chemical|Pharmacologic Substance,C0036078,,,
sulfate,"Sulfates, Inorganic",Inorganic Chemical,C0038720,,,
sulfinpyrazone,Sulfinpyrazone,Organic Chemical|Pharmacologic Substance,C0038742,,,
sulfafurazole,Sulfisoxazole,Organic Chemical|Pharmacologic Substance,C0038745,,,
sulfa drugs,Sulfonamide Anti-Infective Agents,Organic Chemical|Antibiotic,C0599503,,,
sulfonamide,Sulfonamides,Organic Chemical,C0038760,,,
sulfonamides,Sulfonamides,Organic Chemical,C0038760,,,
sulfonylurea,Sulfonylurea Compounds,Organic Chemical|Pharmacologic Substance,C0038766,,,
sulforaphane,sulforafan,Organic Chemical|Pharmacologic Substance,C0163159,,,
sulphoraphane,sulforafan,Organic Chemical|Pharmacologic Substance,C0163159,,,
sulfur,Sulfur,"Biologically Active Substance|Pharmacologic Substance|Element, Ion, or Isotope",C0038774,,,
sulphur,Sulfur,"Biologically Active Substance|Pharmacologic Substance|Element, Ion, or Isotope",C0038774,,,
sulfur dioxide,Sulfur Dioxide,Hazardous or Poisonous Substance|Inorganic Chemical,C0038777,,,
so2,Sulfur Dioxide,Hazardous or Poisonous Substance|Inorganic Chemical,C0038777,,,
trioxide sulfur,sulfur trioxide,Inorganic Chemical,C0075608,,,
sulfuric acid,Sulfuric acid,Pharmacologic Substance|Inorganic Chemical,C0038784,,,
h2so3,Sulfurous acid,Inorganic Chemical,C0038787,,,
sulindac,Sulindac,Organic Chemical|Pharmacologic Substance,C0038792,,,
benzophenone-4,sulisobenzone,Organic Chemical|Pharmacologic Substance,C0075618,,,
sulperazon,sulperazone,Organic Chemical|Pharmacologic Substance,C0165161,,,
sulpiride,Sulpiride,Organic Chemical|Pharmacologic Substance,C0038803,,,
sulpirid,Sulpiride,Organic Chemical|Pharmacologic Substance,C0038803,,,
sumatriptan,Sumatriptan,Organic Chemical|Pharmacologic Substance,C0075632,,,
sumatriptan tablets 50mg,Sumatriptan 50 MG Oral Tablet,Clinical Drug,C0980430,,,
sumatriptan injection,Sumatriptan Injection,Clinical Drug,C4034130,,,
sumf1,SUMF1 gene,Gene or Genome,C1539893,,,
summarize,summarized by,Intellectual Product,C1553398,,,
summary,summary - ActRelationshipSubset,Intellectual Product,C1552616,,,
summer,summer,Temporal Concept,C0241301,,,
smt3,SUMO1 wt Allele,Gene or Genome,C3811212,,,
sumo2,SUMO2 gene,Gene or Genome,C1420264,,,
sumo3,SUMO3 gene,Gene or Genome,C1539896,,,
sun protection,sun protection,Finding,C2037263,,,
spf,Sun protection factor,Quantitative Concept,C0796617,,,
sunburn,Sunburn,Injury or Poisoning,C0038814,,,
sundown syndrome,Sundowning,Mental or Behavioral Dysfunction,C1142436,,,
sunifiram,sunifiram,Organic Chemical|Pharmacologic Substance,C4549780,,,
sunitinib,sunitinib,Organic Chemical|Pharmacologic Substance,C1176020,,,
sunitinib malate,sunitinib malate,Organic Chemical|Pharmacologic Substance,C1700685,,,
sun,Sunlight,Natural Phenomenon or Process,C0038817,,,
sunlight,Sunlight,Natural Phenomenon or Process,C0038817,,,
suns,Sunlight,Natural Phenomenon or Process,C0038817,,,
sunblock,Sunscreening Agents,Substance,C0038818,,,
sunscreen,Sunscreening Agents,Substance,C0038818,,,
sunscreens,Sunscreening Agents,Substance,C0038818,,,
sunset syndrome,Sunset Syndrome,Disease or Syndrome,C1710248,,,
sunspot,Sunspots,Finding,C0376616,,,
sun stroke,Sunstroke,Injury or Poisoning,C0038819,,,
abrasion,Superficial abrasion,Injury or Poisoning,C0043242,,,
slap tear,Superior Labrum from Anterior to Posterior Injuries,Injury or Poisoning,C4277656,,,
superior mesenteric artery,Superior mesenteric artery structure,"Body Part, Organ, or Organ Component",C0162861,,,
b6,Superior segmental bronchus,"Body Part, Organ, or Organ Component",C0507115,,,
superior temporal gyrus,Superior temporal gyrus,"Body Part, Organ, or Organ Component",C0152309,,,
superior vena cava,Superior vena cava structure,"Body Part, Organ, or Organ Component",C0042459,,,
superior vena cava syndrome,Superior Vena Cava Syndrome,Disease or Syndrome,C0038833,,,
vena cava superior syndrome,Superior Vena Cava Syndrome,Disease or Syndrome,C0038833,,,
extra,Supernumerary,Quantitative Concept,C1883702,,,
mesiodens,Supernumerary mesiodens tooth,Disease or Syndrome,C0266030,,,
sod,Superoxide Dismutase,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",C0038838,,,
superoxide dismutase,Superoxide Dismutase,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",C0038838,,,
superoxide dismutase activity,superoxide dismutase activity,Molecular Function,C1151619,,,
superscripts,Superscript,Intellectual Product,C2825228,,,
supervision,Supervision (regime/therapy),Therapeutic or Preventive Procedure,C0038842,,,
supine,Supine Position,Spatial Concept,C0038846,,,
supine position,Supine Position,Spatial Concept,C0038846,,,
complementary feeding,Supplementary Feeding,Therapeutic or Preventive Procedure,C0038847,,,
self-help groups,Support Groups,Self-help or Relief Organization,C0036606,,,
support group,Support Groups,Self-help or Relief Organization,C0036606,,,
support groups,Support Groups,Self-help or Relief Organization,C0036606,,,
support,"Support, device",Medical Device,C0183683,,,
supportive care,Supportive care,Therapeutic or Preventive Procedure,C0344211,,,
supportive therapy,Supportive care,Therapeutic or Preventive Procedure,C0344211,,,
t-lymphocytes suppressors,Suppressor T Lymphocyte,Cell,C0038856,,,
purulent inflammation,Suppurative inflammation,Pathologic Function,C0038862,,,
suppurative inflammation,Suppurative inflammation,Pathologic Function,C0038862,,,
aortic root,Supraaortic valve area structure,"Body Part, Organ, or Organ Component",C0549113,,,
supraclavicular flap,Supraclavicular flap,"Body Part, Organ, or Organ Component",C0440902,,,
supracondylar femur fracture,Supracondylar fracture femur,Injury or Poisoning,C0347812,,,
supracondylar fracture,supracondylar; fracture,Injury or Poisoning,C1397781,,,
supradyn,Supradyn,Organic Chemical|Pharmacologic Substance,C0253013,,,
supraglottic,Supraglottic,Body Location or Region,C0442192,,,
supraglottic airway,Supraglottic airway,Medical Device,C4076036,,,
suprapubic catheter,Suprapubic catheter,Medical Device,C0150798,,,
suprapubic catheters,Suprapubic catheter,Medical Device,C0150798,,,
suprapubic pain,Suprapubic pain,Sign or Symptom,C0241310,,,
supraspinatus,Supraspinatus muscle structure,"Body Part, Organ, or Organ Component",C0584869,,,
supraspinatus tendonitis,Supraspinatus tendinitis,Disease or Syndrome,C0410022,,,
suprathel,suprathel,Organic Chemical,C2352616,,,
supraventricular arrythmia,Supraventricular arrhythmia,Disease or Syndrome,C0428974,,,
supraventricular tachycardia,Supraventricular tachycardia,Disease or Syndrome,C0039240,,,
svt,Supraventricular tachycardia,Disease or Syndrome,C0039240,,,
suprep,SUPREP,Pharmacologic Substance,C2927728,,,
facts,SUPT16H gene,Gene or Genome,C1420522,,,
sur,Suramin,Organic Chemical|Pharmacologic Substance,C0038880,,,
surfaced,Surface,Spatial Concept,C0205148,,,
spr,Surface Plasmon Resonance,Molecular Biology Research Technique,C0597731,,,
surf,Surfing,Daily or Recreational Activity,C0336932,,,
surgeon,Surgeon,Professional or Occupational Group,C0582175,,,
the surgeon,Surgeon,Professional or Occupational Group,C0582175,,,
clinics in surgery,Surgery clinic,Health Care Related Organization|Manufactured Object,C1552809,,,
skull base surgery,surgery of base of skull,Therapeutic or Preventive Procedure,C2037687,,,
surgeries,Surgery specialty,Biomedical Occupation or Discipline,C0038894,,,
surgery,Surgery specialty,Biomedical Occupation or Discipline,C0038894,,,
day surgery,"Surgery, Day",Therapeutic or Preventive Procedure,C0282046,,,
cancer surgery,Surgery:Type:Point in time:Cancer.To be specified in another part of the message:Nominal,Clinical Attribute,C0804756,,,
surgery nursing,Surgery.nurse,Professional or Occupational Group,C1441667,,,
surgery nurse,Surgery.nurse,Professional or Occupational Group,C1441667,,,
operation,Surgical aspects,Functional Concept,C0038895,,,
operative procedure,Surgical aspects,Functional Concept,C0038895,,,
surgical attire,Surgical Attire,Manufactured Object,C2936359,,,
avulsion,Surgical avulsion,Therapeutic or Preventive Procedure,C0185044,,,
surgical clip,Surgical Clips,Medical Device,C0038917,,,
equipments for surgery,Surgical Equipment,Medical Device,C0038923,,,
surgical errors,Surgical Errors,Qualitative Concept,C0038924,,,
surgical mask,Surgical face mask,Medical Device,C0181758,,,
flap,Surgical Flaps,"Body Part, Organ, or Organ Component",C0038925,,,
flaps,Surgical Flaps,"Body Part, Organ, or Organ Component",C0038925,,,
incision,Surgical incisions,Therapeutic or Preventive Procedure,C0184898,,,
surgical instrument holder,Surgical Instrument Holders,Medical Device,C2955713,,,
surgical instruments,Surgical Instruments,Medical Device,C0038928,,,
surgical instrument,Surgical Instruments,Medical Device,C0038928,,,
manipulation,Surgical Manipulation,Therapeutic or Preventive Procedure,C0185111,,,
surgical margin,Surgical margins,"Body Part, Organ, or Organ Component",C0229985,,,
refractive surgery,Surgical ocular refractive procedure,Therapeutic or Preventive Procedure,C1274010,,,
surgical oncology,Surgical Oncology specialty,Biomedical Occupation or Discipline,C1515090,,,
surgical pathology,Surgical Pathology specialty,Biomedical Occupation or Discipline,C0030669,,,
surgical patients,surgical patients,Patient or Disabled Group,C0871463,,,
portosystemic shunt,Surgical Portosystemic Shunt,Therapeutic or Preventive Procedure,C0032720,,,
laparoscopic surgery,"Surgical Procedures, Laparoscopic",Therapeutic or Preventive Procedure,C0751429,,,
surgical scrub,Surgical Scrubbing,Health Care Activity,C2936698,,,
stoma,Surgical Stoma,Anatomical Structure,C1955856,,,
stomata,Surgical Stoma,Anatomical Structure,C1955856,,,
surgical time out,Surgical Time Out,Health Care Activity,C1531984,,,
surgical wound,Surgical wound,Injury or Poisoning,C0332803,,,
surgical wounds,Surgical wound,Injury or Poisoning,C0332803,,,
surgical wound care,Surgical Wound Care,Therapeutic or Preventive Procedure,C1718376,,,
postoperative wound infection,Surgical Wound Infection,Pathologic Function,C0038941,,,
postoperative wound infections,Surgical Wound Infection,Pathologic Function,C0038941,,,
surgical site infection,Surgical Wound Infection,Pathologic Function,C0038941,,,
surgical site infections,Surgical Wound Infection,Pathologic Function,C0038941,,,
surgical wound infection,Surgical Wound Infection,Pathologic Function,C0038941,,,
surrogate,Surrogate,Family Group,C4053457,,,
gestational carrier,Surrogate Mothers,Family Group,C0038947,,,
surveillance,surveillance aspects,Functional Concept,C0220920,,,
cancer surveillance,Surveillance for cancer,Health Care Activity,C4316666,,,
sig,Surveillance Implementation Group,Health Care Related Organization,C1515092,,,
seer,"Surveillance, Epidemiology, and End Results (SEER) Program",Health Care Related Organization,C0242638,,,
survey method,Survey Methods,Research Activity,C0038949,,,
research surveys,survey research,Research Activity,C0683942,,,
survey,Surveys,Intellectual Product,C0038951,,,
surveying,Surveys,Intellectual Product,C0038951,,,
survival analysis,Survival Analysis,Research Activity,C0038953,,,
survival rate,Survival Rate,Quantitative Concept,C0038954,,,
survival time,Survival time,Clinical Attribute,C2919552,,,
surviving,survive,Pharmacologic Substance,C0310255,,,
survivor,Survivors,Patient or Disabled Group,C0206194,,,
susacs syndrome,Susac Syndrome,Disease or Syndrome,C2717757,,,
tuberculosis susceptibility,Susceptibility to tuberculosis,Finding,C0429908,,,
sushi domain,Sushi Domain,Amino Acid Sequence,C1515099,,,
suspected,Suspected diagnosis,Qualitative Concept,C0332147,,,
suspected pulmonary embolism,Suspected pulmonary embolism,Finding,C1563135,,,
suspension,Suspensions,Biomedical or Dental Material,C0038960,,,
sustained release,Sustained Release Dosage Form,Biomedical or Dental Material,C1710261,,,
sustained release tablets,Sustained Release Tablet Dosage Form,Biomedical or Dental Material,C3146230,,,
sus,Susu language,Language,C0574518,,,
sutent,Sutent,Organic Chemical|Pharmacologic Substance,C1698963,,,
suturing techniques,Suture Techniques,Therapeutic or Preventive Procedure,C0038968,,,
suture abscess,suture; abscess,Disease or Syndrome,C1385491,,,
sv119,SV119,Organic Chemical|Pharmacologic Substance,C3660072,,,
odynophagia,Swallowing painful,Sign or Symptom,C0221150,,,
swaziland,Swaziland,Geographic Area,C0038983,,,
sweating,Sweat,Body Substance,C0038984,,,
sudoriferous gland,Sweat Glands,"Body Part, Organ, or Organ Component",C0038989,,,
sweat test,Sweat test,Laboratory Procedure,C0430179,,,
sweaty feet,Sweaty feet,Finding,C0424557,,,
sweaty hands,Sweaty hands,Finding,C0424558,,,
swedish,Swedish,Population Group,C1710263,,,
swedish massage,swedish massage,Therapeutic or Preventive Procedure,C2945661,,,
mesh swedish,Swedish translation of the Medical Subject Headings,Intellectual Product,C1321848,,,
mshswe,Swedish translation of the Medical Subject Headings,Intellectual Product,C1321848,,,
sweets,Sweet Syndrome,Disease or Syndrome,C0085077,,,
sweetums,Sweeta,Food,C1657503,,,
sweetener,Sweetening Agents,Chemical Viewed Functionally,C0038998,,,
sweeteners,Sweetening Agents,Chemical Viewed Functionally,C0038998,,,
swollen legs,Swelling of lower limb,Sign or Symptom,C0581394,,,
swollen lymph nodes in groin,swelling of lymph node in groin,Sign or Symptom,C2012599,,,
salivary gland swellings,Swelling of salivary gland,Finding,C0240925,,,
swollen testicle,Swelling of testicle (finding),Finding,C2584688,,,
swertia chirayita,Swertia chirayita,Plant,C1066731,,,
swim,Swimming,Daily or Recreational Activity,C0039003,,,
swimming,Swimming,Daily or Recreational Activity,C0039003,,,
swiss prot,SWISS-PROT,Intellectual Product,C0950143,,,
che,Switzerland,Geographic Area,C0039021,,,
swog,SWOG,Health Care Related Organization,C1519429,,,
sycp3,SYCP3 gene,Gene or Genome,C1425334,,,
sydowia,Sydowia,Fungus,C1084663,,,
sydowia polyspora,Sydowia polyspora,Fungus,C1024777,,,
syk,"SYK protein, human","Amino Acid, Peptide, or Protein|Enzyme",C0134982,,,
symbicort,Symbicort,Organic Chemical|Pharmacologic Substance,C1121854,,,
symbols,symbol,Idea or Concept,C0679214,,,
symbrachydactyly,Symbrachydactyly,Congenital Abnormality,C0431878,,,
sympathetic nervous system,Sympathetic Nervous System,Body System,C0039044,,,
mani,Symphonia globulifera,Plant,C1193341,,,
spd,Symphysis Pubis Dysfunction,Disease or Syndrome,C2609259,,,
symphysis,Symphysis structure,Body Space or Junction,C0224520,,,
spks,SYMPK gene,Gene or Genome,C1427791,,,
